,song_lyric
136,"Oh, this what we doin'? Alright (M.A.)

I like a bitch that like to wobble, wobble
Shake it, shake it, break it, break it
Nigga, we made it, made it, they hate it, hate it
Pro professional, pure persistent, I'm paper chasing
I hate complaining, I hated waiting, I'll pay for patience
But I hate to pay a bill (hate that)
And I made a mil' without a major deal (I made that)
Yeah, her ass fake, but she came for real (she came, uh)
Money ain't a thing, that ain't a thing for real
That's the broke lingo (huh)
And no, ain't nothing Saweetie, this is no Quavo (Migo)
Man, I just get high, let my hoes lay low (ooh)
I just want some face but this is no facial (ooh)
Do right and kill er'body, Drake mode (hello)
Bitch, I'm tryna eat out, take your plate mode (hello)
Disrespect your life and I'm in gang mode (grrr)
You can leave this earth, bitch, I'm in rake mode (huh)
I'm in cake mode (huh), I'm in brave mode, uh
What up Marshall? I'm a martian, I'm in Wayne mode (facts)
Neck wet, big drip, I'm in rain mode (drip, drip, drip)
Eight niggas, eight hittas, take eight souls (brrr)
Collect pesos (huh), and I'm paid, so? (Paid)
Self-made goals (hey)
When the pain leaves (huh)
Where does the pain go? (Where?)
Tip of the Backwood is where the flame goes (there)
To the sky is where my brain goes (wow)
Same pack, same fiend, sellin' the same clothes (wow)
Pinocchio and my pistol, they got the same nose
Me and my niggas gotta eat, we share the same stove (what?)
Case closed, bodies in my lane, bitch, lane closed

Game over, Thanos on you H-Os
On my petty shit but I don't paint toes (yeah)
Get the plunger (plunger) 'cause Marshall and M.A go plum crazy
Call us liquid plumber, 'cause even Dre know (Dre know)
Beat knocks like a beefed up Detox
You're gonna need three SWATs
Or police officers at least to pull me off of it 
And I don't stop
Please dawg, I need y'all to keep talking shit 
'Cause I feed off of it
I am the complete opposite of these retards 
Who spit these weak bars, I'ma leave carnage
Each thought'll be so toxic
It'll block the wind through your esophagus
Stop it, cutting off your oxygen
And I hit them pads like a boxing gym
Better watch for Slim
Better get to popping and when I'm at the top again
I won't topple and I'm giving it to anyone
Who wanna come and get it and I'm not gonna stop
But when they ask me 
Is the war finished with MGK? Of course it is
I cleansed him of his mortal sins
I'm God and the Lord forgives
Even the devil worshippers
I'm moving on but you know your scruples are gone 
When you're born with Lucifer's horns
And you're from the school of Notorious, Puba, Cube
And The Poor Righteous Teachers tutored my students
Showed them all the blueprint and formula
But it seems like the more they studied my music
The more they remind me of eyeballs
I'm watching my pupils get cornier (uh)
But I'm contemplating yelling, ""bombs away,"" on the game
Like I'm outside of an Ariana Grande concert waiting

Here comes Saddam Hussein, Ayatollah Khomeini
Where's Osama been? I been laden lately
Look at how I'm behaving, they want me gone away
They wanna JonBenet me (f*ck you), I'm unaccommodating
Man, I don't see why they hate me
I'm a clown like John Wayne Gacy
They call me Kanye crazy
""APESHIT,"" Beyonce, Jay-Z
And I'm back with Andre, baby
And the doctor's operating
But he never put no scrubs on from Snoop, K.Dot to Shady

Shady like a shadow or your silhouette, intellect
I better check to see why you feel upset
'Cause I met your bitch on the internet
Now I'm getting head like a Pillow Pet
That bimbo Kim put her lips
All the way around this bone and then blow
Like a dusty cartridge from an old Nintendo
Those were the days but I bet you
I'm never gonna be broke again, no
I don't smoke but I got paper, to be blunt, I'm rolling Indo
And I keep it one comma, zero, zero, zero, zero
Real, real, real, murder, murder, murder, kill, kill, kill
Nickel-plated, twenty two, two, two
Bitch, shut the f*ck up 'fore I shoot you too
Ain't shit I won't do just to get a few YouTube views
Run up in a church like pew, pew, pew
'Cause that's what I do, do, do
But, even to the untrained human eye
We ain't the same, you and I
Somebody should have explained to you why
For you to go against me, it's simply insane, you will die (yeah)
That's why they call me Kamikaze, it's plain suicide, yeah
But I know magic and here go my last trick
I'm 'bout to say ""Abracadabra"" and pull a B Rabbit up out of my hat
I'm about to relapse and I betcha that you won't know how to react
But a look of disgust, I don't doubt it'd be that
As I begin to fuckin' devour the track
And you backpedal that as a cowardly act
Like a Saudi attack when the towers collapse

Here comes Saddam Hussein, Ayatollah Khomeini
Where's Osama been? I been laden lately
Look at how I'm behaving, they want me gone away
They wanna JonBenet me (f*ck you), I'm unaccommodating"
474,"It's a long way (it's a long way)
It's a long way (it's a long way)
It's a long day (it's a long day)
It's a long day (it's a long day)

Lord have Mercy (Lord have Mercy)
Things have got to change (things have got to change)
There's a storm ahead (there's a storm ahead)
I hear the wind blowing (I hear the wind blowing)
Let me catch my breath (let me catch my breath)
Will we win this race? (Will we win this race?)
Swear the road is long (swear the road is long)
And the highway listens (and the highway listens)

'Cause it's a long way ('cause it's a long way)
It's a long way (it's a long way)
'Cause it's a long day ('cause it's a long day)
It's a long day (it's a long day)

I was up all night
I said a little prayer
Get that old man
Put him in a jail
Where he can't stop us (where he can't stop us)
Where he can't hurt us (where he can't hurt us)
We will stand tall (we will stand tall)
Underneath this tree (underneath this tree)
'Cause it's a

'Cause it's a long way ('cause it's a long way)
It's a long way (it's a long way)
'Cause it's a long day ('cause it's a long day)
It's a long day

But when we can stop it all (but when we can stop it all)
In the right way (in the right way)
Will we stand together? (Will we stand together?)
It's a new day (it's a new day)
So don't judge a human (so don't judge a human)
'Til you're in their shoes ('til you're in their shoes)
If you have a dream (if you have a dream)
Then you can't stop us (then you can't stop us)

Sing, ""Hallelujah"" (sing, ""Hallelujah"")
Say, ""Amen"" (say, ""Amen"")
Sing, ""Hallelujah"" (sing, ""Hallelujah"")
And say, ""Amen"" (and say, ""Amen"")
I say, ""Oh, yeah"" (I say, ""Oh, yeah"")
I said, ""Oh, yeah"" (I said, ""Oh, yeah"")
I say, ""Amen"" (I say, ""Amen"")
I sing, ""Hallelujah"" (I sing, ""Hallelujah"")

'Cause it's a long way ('cause it's a long way)
It's a long way (it's a long way)
'Cause it's a long day ('cause it's a long day)
It's a long day"
255,"Each time they take a photograph
I lose a part I can't get back
I wanna hide, this is the part where I detach
Each time they write a hateful word
Dragging my soul into the dirt
I wanna die
I never admit it
But it hurts

I don't wanna talk about it right now
Just hold me while I cry my eyes out
I'm not Joan of Arc, not yet
But I'm in the dark, yeah

I can't be superhero right now
Even hearts made out of steel can break down
I'm not Joan of Arc, not yet
I'm only human

Anything they did to me, said to me
Doesn't mean a thing, 'cause you're here with me now
Even when the world turns its back on me
There could be war but I'm not going down

One little lie I can ruin my day
Words are like weapons they betray
When I am afraid, one word of kindness it can save me

I don't wanna talk about it right now
Just hold me while I cry my eyes out
I'm not Joan of Arc, not yet
But I'm in the dark, yeah

I can't be superhero right now
Even hearts made out of steel can break down
I'm not Joan of Arc, not yet
I'm only human

Anything they did to me, said to me
Doesn't mean a thing, 'cause you're here with me now
Even when the world turns its back on me
There could be war but I'm not going down

Being destructive isn't brave
They couldn't say it to my face
One day I won't care
But for the moment I'm not there
I'll just close my eyes, and let you catch me now

I don't wanna talk about it right now
Just hold me while I cry my eyes out
I'm not Joan of Arc, not yet
But I'm in the dark, oh yeah

I can't be superhero right now
Even hearts made out of steel can break down
I'm not Joan of Arc, not yet
I'm only human

Anything they did to me, said to me
Doesn't mean a thing, 'cause you're here with me now
Even when the world turns its back on me
There could be war but I'm not going down

Anything they did to me, said to me
Doesn't mean a thing, 'cause you're here with me now
Even when the world turns its back on me
There could be war but I'm not Joan of Arc"
180,"I have a tale to tell
Sometimes it gets so hard to hide it well
I was not ready for the fall
Too blind to see the writing on the wall

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

I know where beauty lives
I've seen it once, I know the warm she gives
The light that you could never see
It shines inside, you can't take that from me

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell
The secret I knew then
Will I ever have the chance again

If I ran away, I'd never have the strength
To go very far
How would they hear the beating of my heart
Will it grow cold
The secret that I hide, will I grow old
How will they hear
When will they learn
How will they know

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell
The secret I knew then
Will I ever have the chance again

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me"
290,"Express yourself, don't repress yourself 
Express yourself, don't repress yourself 
Express yourself, don't repress yourself 
Express yourself, don't repress yourself 

And I'm not sorry (I'm not sorry)
It's human nature (it's human nature)
And I'm not sorry (I'm not sorry)
I'm not your bitch don't hang your shit on me (it's human nature)

You wouldn't let me say the words I longed to say
You didn't want to see life through my eyes
(Express yourself, don't repress yourself)
You tried to shove me back inside your narrow room
And silence me with bitterness and lies
(Express yourself, don't repress yourself)
R
Did I say something wrong?
Oops, I didn't know I couldn't talk about sex
(I musta been crazy)
Did I stay too long?
Oops, I didn't know I couldn't speak my mind
(What was I thinking)

And I'm not sorry (I'm not sorry)
It's human nature (it's human nature)
And I'm not sorry (I'm not sorry)
I'm not your bitch don't hang your shit on me (it's human nature)

You punished me for telling you my fantasies
I'm breakin' all the rules I didn't make
(Express yourself, don't repress yourself)
You took my words and made a trap for silly fools
You held me down and tried to make me break
(Express yourself, don't repress yourself)

Did I say something true?
Oops, I didn't know I couldn't talk about sex
(I musta been crazy)
Did I have a point of view?
Oops, I didn't know I couldn't talk about you
(What was I thinking)

And I'm not sorry (I'm not sorry)
It's human nature (it's human nature)
And I'm not sorry (I'm not sorry)
I'm not your bitch don't hang your shit on me (it's human nature)

Express yourself, don't repress yourself 
Express yourself, don't repress yourself 
Express yourself, don't repress yourself 
Express yourself, don't repress yourself 

Did I say something true?
Oops, I didn't know I couldn't talk about sex
(I musta been crazy)
Did I have a point of view?
Oops, I didn't know I couldn't talk about you
(What was I thinking)

And I'm not sorry (I'm not sorry)
It's human nature (it's human nature)
And I'm not sorry (I'm not sorry)
I'm not your bitch don't hang your shit on me (it's human nature)

And I'm not sorry (I'm not apologizing)
It's human nature (Would it sound better if I were a man?)
And I'm not sorry (You're the one with the problem)
I'm not your bitch don't hang your shit on me (Why don't you just deal with it)

And I'm not sorry (Would you like me better if I was?)
It's human nature (We all feel the same way)
And I'm not sorry (I have no regrets)
I'm not your bitch don't hang your shit on me (Just look in the mirror)

And I'm not sorry (I don't have to justify anything)
It's human nature (I'm just like you)
And I'm not sorry (Why should I be?)
I'm not your bitch don't hang your shit on me (Deal with it)"
353,"Staring up into the heavens
In this hell that binds your hands
Will you sacrifice your comfort
Make your way in a foreign land

Wrestle with your darkness
Angels call your name
Can you hear what they are saying
Will you ever be the same

Imminilalo Imminilalo
Imminilalo Imminilalo

Remember, remember
Never forget
All of your life has all been a test
You will find the gate that's open
Even though your spirit's broken

Open up my heart
'Cause my lips to speak
Bring the heavens and the stars
Down to earth for me

Imminilalo Imminilalo
Imminilalo Imminilalo

Imminilalo Imminilalo
Imminilalo Imminilalo

Wrestle with your darkness
Angels call your name
Can you hear what they are saying
Will you ever be the same

Imminilalo Imminilalo
Imminilalo Imminilalo

Imminilalo Imminilalo
Imminilalo Imminilalo"
122,"She loves me, she loves my knot
Not for who I am, but what I got, yeah
And, I don't wanna blow up her spot
But da-na-na-na-na-da-na (woo)
Lady, I've been watchin' you from the back every time that you walk past
Hate to put you on blast but you got a bomb ass (yeah)
Been checkin' you out ever since the second you stepped in through Nani's dressing room
Girl, you're stunning, I'd bet that you'd zap me if I was next to you
Sparks'll fly, I expect them too
I'd be shocked if they didn't, 'cause you're Carmen Electrocute (cutie)
And those ain't just sound effects, I knew something was special as soon as we swapped info
I knew that

She loves me, she loves me not
For who I am, but what I got
But she loves me, she loves me not (aha)
She loves me (one more time)
I said 'cause she loves me (she loves me), she loves me not
For who I am (she loves me), but what I got
But she loves me, she loves me not
She loves me

Sorry I missed your call again, I be in the studio usually
But tomorrow afternoon for me, it'd work beautifully
If your schedule's open, you say, ""That's cool with me
But you stood me up twice, Slim, you're 0-for-2 with me""
'Cause like a basket, you've been going through hoops for me
Well, if the ball's in my court, why don't we shoot for three?
Yeah, I'll pick you up and we'll cruise through the D
And soon as we hung up, I'm like, ""Woo""

'Cause she loves me (she loves me), she loves me not
For who I am (she loves me), but what I got
But she loves me, she loves me not (aha)
She loves me (ayy yo, lemme do this bridge right quick)

She pulls me close and whispers to me, oh
Lies in my ear, but that's all I wanna hear
It's okay long as we both know this is all it is, whoa
She can have my love for as long as we both are here

Back in my spot now
The music is loud, so I turn the boombox down
We cut off our cell phones
You're killin' me soft now, wanna hit it like Balboa
'Cause girl, you're a knockout, your body is out cold (whoo)
I put the moves on you like a U-Haul
Bend you over the foosball table, your shoes fall to the floor
But canoodlin', I'm not in the mood for
Gotta get me out of these drawers if you wanna spoon, doll
But before we get to droppin' these drawers, there's options to explore
We can f*ck in the closet or in my elevator (uh)
And maybe when it stops and the door opens, we fall out and we just get off on this floor (haha)
You say you're falling for me but not 'cause I'm famous
Then explain to me who that tattoo that's your leg's of?
Girl, your game is an A-plus but you think I don't notice who the screensaver on your damn phone is?
It ain't 'cause who I am, bullshit
I like you, just don't take me for no stupid ass
No disrespect, 'cause even though you're like my truest fan
Know it's clear you only love me 'cause I'm Superman, Lois
But f*ck it

'Cause she loves me (she loves me), she loves me not
For who I am (she loves me), but what I got
But she loves me, she loves me not
She loves me (one more time)
I said 'cause she loves me (she loves me), she loves me not
For who I am (she loves me), but what I got
But she loves me, she loves me not (aha)
She loves me

She loves my knot, haha
I'm just playin', I ain't got no foosball table"
193,"Madonna, Maluma

Bitch, I'm loca (y yo loco, loco)
Bésame la boca (¿y tú qué me das?)
Bitch, me gusta (y yo te provoco)
Mucho que me asusta (por eso no te vas)

Llegó a la disco montando
Terror con sus amigas
es lo que le gusta
Ella es la reina de su combo y nada la intimida
Es que es la más dura

Solo utiliza Chanel
Qué lo bien lo combina con su joya Cartier
Dicen que su exnovio la dejó por infiel
Le gustan menores como yo, se le ve

Mira cómo se mueve, cómo me baila
Cómo me tiene tra-tranquila
Cómo se mueve, cómo me baila y me entretiene

Bitch, I'm loca (y yo loco, loco)
Bésame la boca (¿Yytú qué me das?) (Ay)
Bitch, me gusta (y yo te provoco)
Mucho que me asusta (por eso no te vas)

Quiero ser tu perra, también tu bebecita
Luego no te quejes cuando muerda esa boquita
I like to be on top, ver cómo te excitas (bye bye bye)
Luego no te quejes cuando muerda esa boquita (hey, hey, hey, hey!)

Bitch, I'm loca, lo-lo-lo-loca
Ella es mi loca, loca y yo soy loco, loco
Bitch, I'm loca, lo-lo-lo-loca
Pero si me pide yo soy loco, loco

You may be young and hot
I'm not so sure that you can manage this type of entertainment
I've had a Latin boy and truth, there was a bit of damage
Somehow, I think you like that
Let's see if you can last
Forget about the future and we have no past
I like the way you move, you know you're just my type
I guess you like a crazy girl, but it's alright

Mira cómo se mueve, cómo me baila
Cómo me tiene tra-tranquila
Cómo se mueve, cómo me baila y me entretiene, yeah yeah

Bitch, I'm loca (y yo loco, loco, loco) (tranquila)
Besame la boca (¿Y tú qué me das?) (Venga, baby)
Bitch, me gusta (y yo te provoco)
Mucho que me asusta (por eso no te vas) (ay, ay, papi)

Bitch, I'm loca, lo-lo-lo-loca (ay)
Ella es mi loca, loca y yo soy loco, loco (ay, ay, papi)
Bitch, I'm loca, lo-lo-lo-loca (lo-lo-loca)
Pero si me pide yo soy loco, loco (ay, ay, papi)
Bitch, I'm loca, lo-lo-lo-loca (ay)
Ella es mi loca, loca y yo soy loco, loco (ay, ay, papi)
Bitch, I'm loca, lo-lo-lo-loca (lo-lo-loca)
Pero si me pide yo soy loco, loco (ay, ay, papi)

So nice to meet you, Mr. Safe
So nice to meet you, Mrs. Crazy
Where do you want me to put this?
Um, you can put it inside
Hahahahaha"
61,"Okay
I am going to attempt to drown myself 
You can try this at home 
You can be just like me 

Mic check 1, 2 
We recording?
I'm cancerous 
So when I dis you, you wouldn't want to answer this 
If you responded back with a battle rap you wrote for Canibus 
I strangled you to death and I choked you again 
And break your fuckin' legs till your bones poke through your skin 
You beef wit' me, I'm even the score equally 
Take you on Jerry Springer, and beat your ass legally 
I get too blunted off the funny home grown 
'Cause when I smoke out I hit the trees harder than Sonny Bono 
So if I said I never did drugs 
That would mean i lie and get fucked more than the President does 
Hillary Clinton tried to slap me and call me a pervert 
I ripped her fuckin' tonsils out and fed her sherbet 
My nerves hurt, and lately I'm on edge 
Grabbed Vanilla Ice and ripped out his blond dreads 
Every girl I ever went out with has gone les '
Follow me and do exactly what the song says 
Smoke weed, take pills, drop outta school, kill people 
And drink and jump behind the wheel like it was still legal 
I'm dumb enough to walk in a store and steal 
So I'm dumb enough to ask for a date wit' Lauryn Hill 
Some people only see that I'm white, ignoring skill 
'Cause I stand out like a green hat wit a orange bill 
But I don't get pissed, y'all don't even see through the mist 
How the f*ck can I be white, I don't even exist 
I get a clean shave, bathe, go to a rave 
Die from an overdose and dig myself up out of my grave 
My middle finger won't go down, how do I wave 
And this is how I'm supposed to teach kids how to behave 

Now follow me and do exactly what you see 
Don't you want to grow up to be just like me 
I slap women and eat shrooms then O.D. 
Now don't you want to grow up to be just like me 

Me and Marcus Allen went over to see Nicole 
When we heard a knock at the door, must of been Ron Gold 
Jumped behind the door, put the orgy on hold 
Killed 'em both and smeared blood in a white Bronco 
My mind won't work if my spine don't jerk 
I slapped Garth Brooks out of his Rhinestone shirt 
I'm not a player just a ill rhyme sayer 
That'll spray an Aerosol can up in the ozone layer 
My rap style's warped, I'm running out the morgue 
Wit' your dead grandmother's corpse then throw it on your porch 
Jumped into a chicken hawk cartoon with a cape on 
And beat Fog Horn Leghorn with an acorn 
I'm bout as normal as Norman Bates, wit' deformative traits 
A premature birth that was four minutes late 
Mother are you there, I love you 
I never meant to hit you over the head wit that shovel 
Will someone explain to my brain 
That I just severed a main vein 
With a chainsaw and I'm in pain 
I take a breather and sigh 
Either I'm high, or I'm nuts 
'Cause if you ain't even in this room neither am I 
So when you see your mom with a thermometer shoved in her ass 
Then It's probably obvious that I got it on with her 
'Cause when I drop it off with this solo shit it's over with 
I bought cages tape opened it and dubbed over it 

I came to the club drunk with a fake I-D 
Don't you want to grow up to be just like me 
I've been with ten women who got H-I-V 
Now don't you want to grow up to be just like me 
I got genital warts and it burns when I pee 
Don't you want to grow up to be just like me 
I tied a rope around my penis then I jumped from a tree 
You probably want to grow up and be just like me"
262,"Hold me closer, full disclosure
Let it out, let me in
On your knees, confess to me
Every doubt, every sin
That's how love's supposed to be

I wanna know what you're all about
You're beautiful when you're broken down
Let your walls crumble to the ground
Let me love you from the inside out

Every scar that you try to hide
All the dark corners of your mind
Show me yours, and I'll show you mine
Let me love you from the inside out

Let's discover one another
Kiss me here, touch me there, yeah
Purest form of ecstasy
Truth or dare, don't be scared, yeah
Let me solve your mystery

I wanna know what you're all about
You're beautiful when you're broken down
Let your walls crumble to the ground
Let me love you from the inside out

Every scar that you try to hide
All the dark corners of your mind
Show me yours, and I'll show you mine
Let me love you from the inside out

Let's cross the line
So far we won't come back
Can't read your mind
I shouldn't have to ask

Cynical smile
Time to take off your mask
I'm on your side
So let me love you
Let me love you
(Let me love you from the inside out)

I wanna know what you're all about
You're beautiful when you're broken down
Let your walls crumble to the ground
Let me love you from the inside out

Every scar that you try to hide
All the dark corners of your mind
Show me yours, and I'll show you mine
Let me love you from the inside out"
