,title,links,song_lyric
543,bang,http://www.lyrics.com/lyric/36400765/Eminem/Bang,"Yeah (brr)
Uh
(Brr, brr, brr)
(Brr, brr, brr)
Machine
(Brr)
It's not a game, nigga (brr, brr)
It's not a fuckin' game, nigga (brr, brr, brr)
Look, look

Ayo, I use the Arm & Hammer just to fluff my brick
Say what I wanna say, and I don't give a f*ck, I'm rich (ah)
Tuck my fifth, don't hesitate to bust my shit
I tell you niggas like Kyrie, ""Suck my dick"" (haha)
I don't trust a soul, I don't even trust my bitch (uh-uh)
Before I fall in love, I'd rather cut my wrist (ah)
I sweat Ace of Spades, nigga, that's how much I sip
Body a rap nigga quick before the Dutch got twist
(Ayo, let's roll somethin')
Yeah, the shotty ring, this shit is not a thing (uh-huh)
Chopper make your body lean, my niggas body things (brr)
Uh, I'm with the jackboys, I'm with the robbin' team (uh-huh)
On my mama, I never rocked a pair of Robin jeans (hahaha)
Everything I jot is mean, how you gon' stop Machine?
My name, it probably ring like Las Vegas slot machines
The MAC by my pelvis in my Helmut Lang (uh-huh)
The shells'll bang, make everything outta your helmet hang (boom boom)
Uh, the mayo jar was Hellmann's when I swirled the 'caine
Then I wrapped the yayo up in cellophane (woo)
My shooter got Dame Lillard from the elbow aim
I thought of that while I was courtside at the Melo game (ah)
Bricks are off-white, I imported some (uh-huh)
Whippin' all night until the mornin' come (all night, nigga)
Still pitchin' long nights until my fortune come
That's big checks on the side like the Off-White Jordan 1s, uh

Ayo, they think this shit a game, nigga (this shit a game, nigga)
Ayo, they think this shit a game (this shit a game) (oh word?)
Ayo, they think this shit a game
Until I pull up, let it ring, nigga (let it ring, nigga)
Until I pull up, let it ring (let it ring)
Until I pull up, let it ring
Ayo, they think this shit a game, nigga (this shit a game, nigga)
Ayo, they think this shit a game (this shit a game, huh?)
Ayo, they think this shit a game
Until I pull up, let it bang, nigga (let it bang, nigga)
Until I pull up, let it bang (let it bang) (boom, boom, boom)
Until I pull up, let it (boom)

I used to be a man of the people
Hit the clubs and mingle (what up?)
Used to dream one day I'd be fuckin' pink like a flamingo (pink)
That was back when I smoked Canibus
Man, but it was tough, 'cause I was a fan of his
So it sucked to hand him his ass, but
Yeah, lookin' back on my feuds
How me and Ja Rule almost got cool
'Cause we shot pool back in '01
Was it '02? I don't know, but
Something told me fuckin' not to
Then we got stuck in high school, I shoved an Oscar up his wazoo
Yeah, but I think of the rappers I slayed and buried like every night
And every career I might've killed, sometimes I say a prayer and I
Wonder is there a heaven for a G? And if so, is the sanctuary nice?
Studios for rap like Coolio, shootin' craps at gangster's paradise
Huh, here a mic, there a mic
Everywhere a mic, share and share alike
But just don't compare alike
Instead of comparin' me, pick a fair fight
Compare me to lightnin', that similarity's strikin'
Compare me to Jaws
Compare me to Manson, Marilyn or Charles
Compare me to Nas, Biggie, or Pac
Do not compare me to that Iggy bitch
Or all this fuckin' Milli Vanilli hip-hop
This is where all that silly shit stops
Compare me to the pistol that triggered this thought
The semi, the Glock, 9 millis get cocked, I'm sending a shot
Don't come around with them floss raps tryna stunt
Compare me to Meek, big wheelies get popped
One by one, compare 'em to scabs, I'm picking them off
They're going home to f*ck Nicki Minaj, aw
Compare me to Diggity-Das, yah
I'm hickity-hitting it raw, ha
In the trailer park (haha)
Told her I'd play the part like Kanan Stark's
Ate her twat like a Tater Tot, oh shit
Get the strap like a trainin' bra
Lunchtime like at eight-o'clock
But Shady's not for the faint of heart
Goin' at these pricks like Lorena Bobbitt
Y'all want drama, we can make a scary movie like Marlon Wayans
Y'all lookin' at the charred remains of Charlamagne tha God
Slim whip, Westside, and Conway are not playin'
I cock back, aim, and I spray you like (boom)"
544,drop the world ,http://www.lyrics.com/lyric/18718073/Eminem/Drop+the+World+%5BEdit%5D+%5BEdit%5D,"I got ice in my veins, blood in my eyes
Hate in my heart, love in my mind
I seen nights full of pain, days are the same
You keep the sunshine, save me the rain
I search but never find, hurt but never cry
I work and forever try, but I'm cursed, so never mind
And it's worse, but better times seem further and beyond
The top gets higher the more that I climb
The spot gets smaller, and I get bigger
Tryna get into where I fit in, no room for a nigga
But soon for a nigga it be on, mu'fucka'
Cause all the bullshit, it made me strong, mu'fucka'

Pick the world up and I'm a drop it on your fuckin' head, yeah
Bitch, I'm a pick the world up and I'm a drop it on your fuckin' head
And I could die now, rebirth motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone
Motherfucker, I'm gone

Uh, I know what they don't wanna tell you
Just hope you're heaven-sent, and you're hell-proof
I-I walk up in the world and cut the lights off
And confidence is a stain they can't wipe off
Huh, my word is my pride
But wisdom is bleak, and that's a word from the wise
Served to survive, murdered and bribed
And when it got too heavy I put my burdens aside

So I could pick the world up
And drop it on yo fuckin' head, haha
Bitch, I'm a pick the world up
And I'm a drop it on your fuckin' head, yeah
And I could die now, rebirth motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone
Motherfucker, I'm gone (I'm gone)

It hurts, but I never show,
This pain you'll never know
If only you could see just how lonely and how cold
And frostbit I've become, my back's against the wall
When push come to shove, I just stand up and scream ""F*ck 'em all""

Man, it feels like these walls are closing in
This roof is caving in, up its time to raise it then
Your days are numbered like pages in
My book of rhymes, got 'em crooked, boy
This crooked mind of mine got 'em all
Shook and scared to look in my eyes
I stole that fuckin' clock, I took the time and I
Came up from behind
And pretty much snuck up
And butt-fucked this game up
Better be careful when you bring my name up
F*ck this fame, that ain't what
I came to claim but the game
Ain't gonna be the same on the day that I leave it
But I swear one way or another I'm a make these fuckin' haters believe it
I swear to God, won't spare the rod
I'm a man of my word, so your fuckin' heads better nod
Or I'm a f*ck around in this bitch and roast everybody!
Sleep on me, that pillow is where your head'll lie
Permanently, bitch, it's beddy-bye
This world is my Easter egg, yeah! prepare to die
My head is swole, my confidence is up
This stage is my pedestal
I'm unstoppable, incredible
Hope you're trapped in my medicine ball
I could run circles around you so fast your fuckin' head'll spin, dawg
I'll split your cabbage and lettuce  and olives
I'll fuckin'

Pick the world up and I'm a drop it on your fuckin' head
Bitch, I'm a pick the world up and I'm a drop it on your fuckin' head
And I could die now, Rebirth motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone
Motherfucker, I'm gone (I'm gone)"
545,rainy days,http://www.lyrics.com/lyric/35949169/Eminem/Rainy+Days,"Nigga, I wear fur coats in the summer, nigga
Wife beaters in the winter, damn
Uh, shit

I've been thuggin' through my rainy days for days (Uh)
I ain't really tryna hang today, today (Yeah, yeah, yeah)
I need changes in a major way (Yeah, yeah, yeah), a way (Uh)
I just pray I never fade away, away

Yo, yo, aw, man
Yo, word to the titles
So word to my idols and word to the goats (Uh)
I ain't sayin' I like 'em
I'd kill all them niggas and wear 'em as coats (Uh)
Word to the feelings I channel
I lose 'em as quick as a fuckin' remote (Uh)
Don't be callin' me woke (No)
I cheat on my queen for a hoe
That's how shit go, she keep sayin' we chill (Ayy)
She gon' come out her shell (Woah)
Ain't no pushin' my buttons
When all of my feelings is stuck on a wheel (Yeah)
Bitch, I'm thirsty and blessed (Ayy)
I pour liquor in grills (Woah)
This for my niggas in jail, wrestlin' L's (Uh)
That's that hell in the cell
I come from a place where the shit can get shady
My chances was slim (Ayy)
All my women was basic
We see different races since signing to him (Yeah)
I can't send out no message to none of my exes
And bitches as friends (Ayy)
I can't blow it again
Need a bitch that's as thick as my skin, shit 'cause

I've been thuggin' through my rainy days for days (Uh)
I ain't really tryna hang today, today (Yeah, yeah, yeah)
I need changes in a major way (Yeah, yeah, yeah), a way (Uh)
I just pray I never fade away, away

I left my legacy hurt? Fuckin' absurd
Like a shepherd havin' sex with his sheep, f*ck what you heard
All this talk in my ear, I got a idea
Like the clerk when you tryna buy beer (ID ya)
Since on the mic, I'm a nightmare
F*ck it, I thought this might be a good time to put woke me to rockabye
I got the bottle of NyQuil right here (Right here)
You want the sleep me to wake, you want Slim Shady EP
That's on the CD cover, sockin' my mirror (Sockin' my mirror)
I promise not to cry crocodile tears (Crocodile tears)
If you end up shocked at my lyrics (Shocked at my lyrics)
Marshall is dead in the water, but not that I care
Dre said, ""Rock the boat"" and the Doc is my pier
So, it's unanimous, you're at attention, the planet's listenin'
And their banana splits again, which has its advantages
But when you got nothing to say except for the hand your dick is in
And if your plan's to stick it in Janice Dickenson
Imagine if the Temazepam is kickin' in, it's havin' you panic-stricken
You're trippin' off of tryptophan and tripped a fan in Switzerland
Just for askin' to autograph a picture, then ripped it in half
And whipped it at him and kicked his ass all the way back to Michigan
But no matter how many rounds or if I get knocked down
In a bout and fell to the ground
I got a fighter's mentality, I'll get back up and fight with it
In fact, I'ma attackin' the mic with it
I'll make it sound (Sound) like a vampire's bitin' it
But I'd have to be Dracula's sidekick (Sidekick)
To be down for the count (Haha), yeah
Yo, album's (What?), out (Yeah), now (Uh)
Pow (Pow), wow (Woo), I don't (Huh), see no (Uh) clouds (Nah)
But ain't gon' (No) be no (Huh) drought (Uh-uh)
Smile (No), frown (Yeah), upside (Ah) down (Ya)
Shut my (Nope) mouth (Yeah), how? (How)
That ain't what (What) I'm 'bout
Shout (Shout), showers (F*ck it, ow, ow)
Thug it out (Ow), 'cause

I've been thuggin' through my rainy days for days (Uh)
I ain't really tryna hang today, today (Yeah, yeah, yeah)
I need changes in a major way (Yeah, yeah, yeah), a way (Uh)
I just hope I never, damn (I just hope I never)
I just pray I never, f*ck (I just pray I never)
I've been thuggin' through my rainy days for days (Rainy days, uh)
I ain't really tryna hang today, today (Hang today, uh)
I need changes in a major way, a way (Major way, uh)
I just pray I never fade away, away"
546,here comes the weekend ,http://www.lyrics.com/lyric/28442774/Eminem/Here+Comes+the+Weekend+%5BExplicit+Version%5D+%5BVersion%5D,"Here comes, comes the weekend
Hear it calling like a siren oh oh
We don't want no problems
We don't like them, keep it moving

Here comes the weekend
Set off your sirens oh oh
Here comes the weekend
Set off your sirens oh oh

I just wanna play, big city, holiday
So get out of my way
If you know what's better for you
I'm tearing up the night
Lipstick and leather tight
Not looking for a fight no oh oh

High heels and cherry wine
Not wasting any time
We're ticking like a bomb
About to blow oh oh

Here comes, comes the weekend
Hear it calling like a siren oh oh
We don't look for trouble,
Just enough to seeing double

Here comes the weekend
Set off your sirens oh oh
Here comes the weekend
Set off your sirens oh oh

Drink some pink champagne
I don't know you yet
But we'll forget so
F*ck what they say
Let the rum flow until it rains oh oh
I'm tearing up the night
Lipstick and leather tight
Not looking for a fight no oh oh

High heels and cherry wine
Not wasting any time
We're ticking like a bomb
About to blow oh oh

Here comes, comes the weekend
Hear it calling like a siren eh oh eh oh
We don't look for trouble,
Just enough to seeing double

Here comes the weekend
Set off your sirens oh oh
Here comes the weekend
Set off your sirens oh oh

Nothing high class in my glass
Only bottles of pop
My bottles are popped so when I pop up in the spot
I'm probably not gonna be wanting to pop bubbly or Ciroc
I'm not Puffy but I'ma run this city tonight
When I hit it, I might act like a frickin' idiot
Diddy mixed with a medieval knight, big city lights
Little indignity, hot diggity
This Biggie is gettin' me hype
I don't get some liquor, I'll hurt you
I'll knock a dick in the dirt, bickerin' worse
Than that bitch in that Snickers commercial
A mixture of Stiffler and Urkel
Hangin' from the light fixture
I hope you pricks are insured for this building
'Cause we're tearin' it down, security get out
The frickin' way, Jesus Chrysler LeBaron it's loud
I swear the only thing I hear is the sound
Of sirens going eeh 'cause

Here comes the weekend
Set off your sirens oh oh
Here comes the weekend
Set off your sirens oh oh

Oh oh

Here comes the weekend
Set off your sirens
Here comes the weekend
Set off your sirens oh oh"
547,my life ,http://www.lyrics.com/lyric/28401736/Eminem/My+Life+%5BEdited+Version%5D,"My life, my life
Makes me wanna run away
There's no place to go
No place to go
All the confusion
It's an illusion like a movie
Got nowhere to go
Nowhere to run and hide
No matter how hard I try

Yeah, 03, I went from plain filthy to filthy rich
Man, the emotions change so I can never trust a bitch
I tried to help niggas get on, they turned around and spit
Right in my face, so Game and Buck, both can suck a dick
Now when you hear 'em it may sound like it's some other shit
'Cause I'm not writing anymore, they not making hits
I'm far from perfect, there's so many lessons I done learned
If money is evil look at all the evil I done earned
I'm doing what I'm supposed to, I'm a writer, I'm a fighter
Entrepreneur, fresh out the sewer, watch me maneuver
What's it to ya? The track I lace it, it's better than basic
This is my recovery, my comeback, kid

My life, my life
Makes me wanna run away
There's no place to go
No place to go
All the confusion
It's an illusion like a movie
Got nowhere to go
Nowhere to run and hide
No matter how hard I try

While you were sipping your own Kool-Aid getting your buzz heavy
I was in the fucking sheds sharpening my machete
Sipping on some of that revenge juice, getting my taste buds ready
To wolf down this spaghetti, or should I say this spaghett-even?
I think you fucking meatballs keep on just forgetting
Thought he was finished, motherfucker, it's only the buginning
He's buggin' again, he's straight thuggin', f*ck who he's offending
He'll rip your vocal chords out and have them bitches plu~gged in the
Motherfucking wall with three thousand volts of electrucity
Now take the other end of 'em, then plug them motherfuckers in each
One of your eye sockets cause I thought you might finally fucking see
That'll teach you to go voicing your cocksuckin' opinion to me
I done put my blood, my sweat and my tears in this shit
F*ck letting up, you’re gonna end up rugretting you ever betted against me
Feels like I'mma snap any minute, yeah, it's happening again
I'm thinking about just saying
""Mother f*ck everybody that's up in this bitch, but 50!""
'Cause this is all I know, this is why so hard I go
I swear to God I put my heart and soul into this more than anybody knows
I'm trapped, so all I do is rap, but every time I rap I'm more trapped
And I rap myself right into this bubble, oh I guess it's bubble wrap
This is like a vicious cycle, my life's in a crisis
Christ, how was I supposed to know shit would turn up like it did?
Feels like I'm going psycho again
And I might just blow my lid
Shit, I almost wish that I would have never made Recovery, kid
'Cause I'm running in circles with

My life, my life
Makes me wanna run away
There's no place to go
No place to go
All the confusion
It's an illusion like a movie
Got nowhere to go
Nowhere to run and hide
No matter how hard I try

I haven't been this fucking confused since I was a kid
Sold like forty million records, people forgot what I did
Maybe this is for me, maybe
Maybe I'm supposed to go crazy
Maybe I'll do it three A.M. in the morning like Shady
Psycho killer, Michael Myers, I'm on fire like a lighter
Try to say this ain't classic, get your ass kicked mad quick
Wrap your head up in plastic, pussy
Now pick the casket, dirt nap with the maggots
It's tragic, it's sad it's
Never gonna end, now we number one again
With that frown on your face, and your heart full of hate
Accept it, respect it
This a gift, God-given, like the air in the lungs
Of every fucking thing livin'

My life, my life
Makes me wanna run away
There's no place to go
No place to go
All the confusion
It's an illusion like a movie
Got nowhere to go
Nowhere to run and hide
No matter how hard I try"
548,not afraid ,http://www.lyrics.com/lyric/19596189/Eminem/Not+Afraid+%5BExplicit+Version%5D,"I'm not afraid, I'm not afraid (yeah)
To take a stand, it's been a ride
Everybody, I guess I had to
Go to that place
To get to this one
Now some of you
Might still be in that place
If you're tryin' to get out
Just follow me
I'll get you there

You can try and read my lyrics off of this paper before I lay 'em
But you won't take the sting out these words before I say 'em
'Cause ain't no way I'm a let you stop me from causin' mayhem
When I say I'm a do somethin' I do it
I don't give a damn what you think
I'm doin' this for me, so f*ck the world, feed it beans
It's gassed up, if it thinks it's stoppin' me
I'mma be what I set out to be, without a doubt undoubtedly
And all those who look down on me, I'm tearin' down your balcony
No if, ands or buts, don't try to ask him why or how can he
From ""Infinite"" down to the last ""Relapse"" album he's still shittin'
Whether he's on salary, paid hourly, until he bows out or he shits his bowels out of him
Whichever comes first, for better or worse
He's married to the game, like a f*ck you for Christmas
His gift is a curse, forget the Earth, he's got the urge to pull his dick from the dirt
And f*ck the whole universe

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand come (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that, you're not alone
Holla if you feel like you've been down the same road

Okay quit playin' with the scissors and shit, and cut the crap
I shouldn't have to rhyme these words in the rhythm for you to know it's a rap
You said you was king
You lied through your teeth, for that f*ck your feelings
Instead of gettin' crowned you're gettin' capped, and to the fans
I'll never let you down again, I'm back
I promise to never go back on that promise
In fact, let's be honest, that last ""Relapse"" CD was eh
Perhaps I ran them accents into the ground
Relax, I ain't goin' back to that now
All I'm tryin' to say is get back, click-clack, blow 'cause I ain't playin' around
It's a game called circle and I don't know how
I'm way too up to back down
But I think I'm still tryin' to figure this crap out
Thought I had it mapped out but I guess I didn't, this fuckin' black cloud
Still follows me around but it's time to exercise these demons
These muh'fuckers are doin' jumpin' jacks now

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (everybody)
Come take my hand come (come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that, you're not alone
Holla if you feel like you've been down the same road

And I just can't keep living this way
So starting today
I'm breaking out of this cage
I'm standing up, I'mma face my demons
I'm manning up, I'mma hold my ground
I've had enough, now I'm so fed up
Time to put my life back together right now (now)

It was my decision to get clean, I did it for me
Admittedly, I probably did it subliminally
For you, so I could come back a brand new me, you helped see me through
And don't realize what you did, believe me you
I been through the ringer, but they could do little to the middle finger
I think I got a tear in my eye, I feel like the king of
My world, haters can make like bees with no stingers and drop dead
No more bee flingers, no more drama from now on
I promise to focus solely on handlin' my responsibilities as a father
So I solemnly swear to always treat this roof, like my daughters and raise it
You couldn't lift a single shingle on it, 'cause the way I feel
I'm strong enough to go to the club or the corner pub
And lift the whole liquor counter up 'cause I'm raising the bar
I'd shoot for the moon but I'm too busy gazin' at stars, I feel amazing and I'm not

I'm not afraid (I'm not afraid)
To take a stand (to take a stand)
Everybody (Everybody)
Come take my hand come (Come take my hand)
We'll walk this road together, through the storm
Whatever weather, cold or warm
Just letting you know that, you're not alone
Holla if you feel like you've been down the same road"
549,chloraseptic,http://www.lyrics.com/lyric/35192616/Eminem/Chloraseptic,"Instinctive nature to bring the anguish (yeah)
To the English language
With this ink, you haters get rode on like a piece of paper
This rap shit got me travelin' place to place
You barely leave your house
'Cause you're always stuck at your pad, it's stationary 
Yeah, that's why when I brainstorm, gotta write it out (write it out)
Simon Cowell of rhymin' foul, that's why you sound so shook
Wire bound notebook got tied around your throat
Hook it inside your mouth, go—hruh
That's what it's like when the mic is out
'Cause I'm tearin' at your flesh with it
'Til your larynx and neck are split
With these lyrics, weapons, expert with
Like hair extensions, extra clips
And you're scared to effin' death of it
Bitch, you're starin' at a legend that
In a pair of Skechers, sweatshirt ripped
And hoodie black, should be strapped
To a chair or stretcher, electric, swear on every record, bitch
Finger so high in the air, I'll bet your senses flip
Like a barometric pressure switch
Carin' less who I offend with this
I'm at your neck like Pez dispense
Go 'head, spit your flow, bitch!

I'm at your throat like chloraseptic, 'septic
And you got strep, I'm too complex with, 'plex with
This shit I wrote is on some next shit, next shit
I'm at your throat, I'm feelin' reckless, reckless, yeah

And I'll take a hundred of you, hundred of you
All at once like I had nothin' to lose, what can I do?
My appetite for destruction is loose, destruction is loose
And all it wants is to have somethin' to chew
Somethin' to chew, somethin' to chew

Yeah, uh (haha), and still conjoined at
The hip with hop, still on point and poignant
Skilled as Floyd is
In this field, and still no filter, boy
I'll put you in your place (yeah) like a realtor, boy
You still ain't in the buildin', boy
I will destroy shit, even as I build it
Get the drill bit, pen is filled with poison
Which is the source, easy to still pinpoint it
(Like what?) Like a real thin joint it
(What?) Comes on Quilted Northern
(And what?) In a built-in toilet
(Yeah) Bitch, I told you I'm a dog (woof)
I wouldn't heal with ointment
Way I'm kickin' these fairies tails
Should write a children's storybook (yeah, yeah, yeah)
Million voices in my head
But still get a little bit of thrill and some real enjoyment
(Off what?) Off the feel of going in
(Like?) Like your bitch when she gives me brain
Like she thinks I'm dumb
Grabs the crown of my dick and blows me to kingdom come
'Til I feel anointed
She makes iller noises
When she's with me, must be from the Windy City
Pretty apparent, she's a MILF when blowin' me
'Cause I conned her into
Rippin' the condom in two (woo!)
Dick is a bargainin' tool
Now I'm gettin' blew like Klonopins, Rude Jude
I go there, you wouldn't
Well, I still have a few views in common with you
Just not YouTube, 'cause

I'm at your throat like chloraseptic, 'septic
And you got strep, I'm too complex with, 'plex with
This shit I wrote is on some next shit, next shit
I'm at your throat, I'm feelin' reckless, reckless, yeah (bitch!)

You're a has-been
That has been the case since back when
You last went and threw your hat in the race
You've been trash (bitch!)
Stick your raps in the trash bin
Or end up in my next rhyme
You're a fuckboy, so next time
It's gonna be heads flyin' like Dez Bryant
With a TEC-9 against Rex Ryan (yeah!)
Now watch me set it like correct time
All you get is sloppy seconds like a Timex, I
Clock rejects into the next life
Talking reckless, but it's just my
Strongest suit, but you can get my Colombian necktie
Prostitute, just climb in the Humvee and let's ride
Why you hitching at night?
I put an end to your life, sex crime
Kidding aside, insidious vibe
Girl, you know you got the prettiest eyes
But all you're getting is bribed
Any old lie to try to get you inside
Then we gon' end up spending the night
And I'm skinning your hide like an Indian tribe
What kind of nut drives a Budweiser truck
Finds a slut, tries to surprise her, cuffs, ties her up
Binds up, cuts, slices her twice?
But the muff diver must just like it rough
F*ck right in her vagina, blood
Flies up on the visor, like a geyser, uh
(Music, please!) Enthusiast of the roofie
Goal is to get a floozy inside the Jacuzzi
And have a loosey-goosey as Cool C is with an Uzi
But I am to rap what blue jeans mean to Bruce Springsteen
Glued we be, I'm truTV, you're too PG
I'm Schoolly D, you're Spoonie Gee!
No diss there, just notice there
Are no similarities that we share
Besides the fact we breathe air
Happily married to rap and I'm glad that we buried
The hatchet and patched it up
Now I'm back to ratchet up my attack
And I'm at your mothafuckin' throat like

Chloraseptic, 'septic
And you got strep, I'm too complex with, 'plex with
This shit I wrote is on some next shit, next shit
I'm at your throat, I'm feelin' reckless, reckless, yeah

And I'll take a hundred of you, hundred of you
All at once like I had nothin' to lose, what can I do?
My appetite for destruction is loose, destruction is loose
And all it wants is to have somethin' to chew
Somethin' to chew, somethin' to chew"
550,remind me ,http://www.lyrics.com/lyric/35192613/Eminem/Remind+Me+%28Intro%29,"Yeah
Damn girl
Do I drive you crazy
You may be crazy too
You make me do things, I normally wouldn't do
You make me feel things, that I never felt
You gotta be the real thing 'cause you remind me of myself"
551,like home,http://www.lyrics.com/lyric/35192610/Eminem/Like+Home,"Yo, shout to everybody
Who's been on this trip with me
You don't have to, agree
But if you feel like me

Someone get this Aryan a sheet
Time to bury him, so tell him to prepare to get impeached
Everybody on your feet
This is where terrorism and heroism meet, square off in the street
This chump barely even sleeps
All he does is watch Fox News like a parrot and repeats
While he looks like a canary with a beak
Why you think he banned transgenders from the military with a tweet? 
He's tryin' to divide us, this shit's like a cult
But like Johnny he'll only unite us
'Cause nothin' inside us drives us like this fight does
Similar to when two cars collide 'cause
Our spirit's crushed, and this spot's a tight one
But here the jaws of life come
To pull us from the wreckage, that's what we get pride from
When we can’t from our stars and stripes cause
This type of pickle that we're in is hard to deal
But there's always tomorrow still
If we start from scratch like a scab, get the scars to heal
And band together for Charlottesville
And for Heather, fallen heroes, fill this wall with murals
Nevada get up, hit the damn resetter
Let's start from zero, this is our renewal
Spray tan, get rid of, get a brand new, better
America, and here's to where it all

And here's to where we all began, all began (stand up!)
Here's to the land that made me
And made me who I am, who I am (hands up!)
Here's to the land that raised me
This one for the only place that really knows me
From the cracks in the road that drove me
There's no place like home

Didn't wanna piss your base off, did ya?
Can't denounce the Klan, 'cause they play golf with ya
You stay on Twitter, way to get your hate off
Nazi, I do not see a way y'all differ
And all you got are race cards, bigot
The swastika with your name carved in it
Should be your trademark, 'cause hate's all you played off
And you just lick the plate off
So I guess it pays to feed off of chaos
So basically, you ate off Hitler!
But you ain't ruinin' our country, punk
Or takin' our pride from us, you won't define us
'Cause like a dictionary, things are lookin' up
So much, got a sprained neck, know we would rise up
Against this train wreck and take a stand
Even if it means sittin' when they raise the flag
To sing ""The Star-Spangled Banner""
This man just praised a statue of General Lee
'Cause he generally hates the black people, degrades hispanics
Take it back to the Shady national convention
Wish I woulda spit on it before I went to shake his hand
At the event or maybe had the wherewithal
To know that he was gonna try to tear apart
Our sacred land we cherish and stand for
So, hands in the air, let's hear it for
The start of a brand new America
Without him and be proud of where we're from
And here's to where we all

And here's to where we all began, all began (stand up!)
Here's to the land that made me
And made me who I am, who I am (hands up!)
Here's to the land that raised me
This one for the only place that really knows me
From the cracks in the road that drove me
There's no place like home

I won't give up
I won't give up on my home, that so many died for
You already know that I won't give up
I won't give up on my home, that so many died for
You already know
There's no place like home, no place like home
Wherever I go, no place like home
No place like home, no place like home
Wherever I go (yeah)

Here's to where we all began, all began (stand up!)
Here's to the land that made me
And made me who I am, who I am (hands up!)
Here's to the land that raised me
This one for the only place that really knows me
From the cracks in the road that drove me
There's no place like home"
552,arose,http://www.lyrics.com/lyric/35192603/Eminem/Arose,"If I could rewind time like a tape
Inside a boombox, one day for every pill or Percocet that I ate
Cut down on the Valium, I'da heard everything
But death is turning, so definite, wait!
They got me all hooked up to some machine
I love you, Bean, didn't want you to know I was struggling
Feels like I'm underwater submerged like a submarine
Just heard that nurse say, my liver and kidneys aren't functioning
Been flirtatious with death, skirt-chasing, I guess
It's arrivederci, same nurse, just heard say they're unplugging me
And it's your birthday, Jade, I'm missing your birthday
Baby girl, I'm sorry, I fucking hate when you hurt, Hai
And sweeties, thank you for waiting to open gifts
But, girls, you can just open 'em
Dad ain't making it home for Christmas
Wish I had the strength to just blow a kiss
I go to make a fist, but I can't make one, I'm frozen stiff
I yell, but nothing comes out, I'm crying inside, I shout
My vocal cords won't permit me, I scream, but it's not aloud
You put your arm around Mama to calm her, wow
I just thought about the aisle I'll never get to walk us down
Never see you graduate in your caps and gowns
It's 'bout to be 2008, how's this happening now?
I got so much more to do
And, Proof, I'm truly sorry if I let you down, but this tore me in two
The thought of no more me and you
You gave me shoes, Nikes like new for me for school
Doody, I'm trying, but you, you were the glue that binded
So many things, time, I'd give anything to rewind it
I had to walk down my halls and constantly be reminded
By pictures all on my walls and I couldn't sleep at night 'cause
That image burned in my brain of you on that table
Me falling across your body, not able to stand to save you
God, why did you take him?
I'm tryna keep his legacy alive, but I'm dying, where's Nathan?
Little ladies, be brave, take care of your mother
Smile pretty for pictures, always cherish each other
I'll always love ya, and I'll be in the back of your memory
And I know you'll never forget me
Just don't get sad when remembering
And, little bro, keep making me proud
You better marry that girl 'cause she's faithfully down
And when you're exchanging those sacred vows
Just know that if I could be there, I would
And should you ever see parenthood, I know you'll be good at it
Oh, almost forgot to do something, thank my father too
I actually learned a lot from you
You taught me what not to do
And, Mom, wish I'd have had the chance
To have one last heart-to-heart honest and open talk with you
Doody, I see you, I go to walk to you
And I can feel my soul leave my body and float across the room
Nurses lean over the bed, pulling tubes out
Then the sheet over my head, shut the room down
Girls, please don't get upset, I see them cheeks soaking and wet
As you squeeze hold of my neck, so forcibly, don't wanna let
Me go, pillow drenched, emotional wrecks
With every second, each closer to death
But suddenly I feel my heart begin to beat slow then a breath, machines go
Must've guessed the cheat codes to this shit
I'm trying to rewind time like a tape
Find an escape, make a beeline, try and awake
From this dream, I need to re-find my inner strength
To remind me, even if a steep climb I must take
To rewrite a mistake, I'm rewinding the tape

(I don't want it!)
I'll put out this last album, then I'm done with it
One hundred percent finished, fed up with it
I'm hanging it up, f*ck it!
Excuse the cursing, baby, but just know
That I'm a good person, though they portray me as cold
And if things should worsen, but I bet you they won't
I'm pledging to throw this methadone in the toilet
Shred these old letters I wrote
All that old pathetic loathing, closing credits can roll
I'm proud to be back
I'm 'bout to, like a rematch, outdo Relapse
With Recovery, Mathers LP2
Help propel me to victory laps
Gas toward 'em and fast forward the past
Consider the last four minutes as
The song I'da sang to my daughters
If I'da made it to the hospital less than 2 hours later, but I fought it
And came back like a boomerang on 'em
Now a new day is dawnin'
I'm up, Tuesday, it's mornin', now I know"
