,title,links,song_lyric
0,live to tell,http://www.lyrics.com/lyric/36050507/Madonna/Live+to+Tell,"I have a tale to tell
Sometimes it gets so hard to hide it well
I was not ready for the fall
Too blind to see the writing on the wall

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

I know where beauty lives
I've seen it once, I know the warm she gives
The light that you could never see
It shines inside, you can't take that from me

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell
The secret I knew then
Will I ever have the chance again

If I ran away, I'd never have the strength
To go very far
How would they hear the beating of my heart
Will it grow cold
The secret that I hide, will I grow old
How will they hear
When will they learn
How will they know

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me

The truth is never far behind
You kept it hidden well
If I live to tell
The secret I knew then
Will I ever have the chance again

A man can tell a thousand lies
I've learned my lesson well
Hope I live to tell
The secret I have learned, 'til then
It will burn inside of me"
1,holiday,http://www.lyrics.com/lyric/36111222/Madonna/Holiday,"Holiday
Celebrate
Holiday
Celebrate

If we took a holiday
Took some time to celebrate
Just one day out of life
It would be, it would be so nice

Everybody spread the word
We're gonna have a celebration
All across the world
In every nation
It's time for the good times
Forget about the bad times, oh yeah
One day to come together to release the pressure
We need a holiday

If we took a holiday
Took some time to celebrate (come on, let's celebrate)
Just one day out of life (holiday)
It would be, it would be so nice

You can turn this world around
And bring back all of those happy days
Put your troubles down
It's time to celebrate
Let love shine
And we will find
A way to come together, we can make things better
We need a holiday

If we took a holiday (holiday)
Took some time to celebrate (celebrate)
Just one day out of life (just one day)
It would be, it would be so nice

Holiday
Celebrate
Holiday
Celebrate

If we took a holiday (oh yeah, oh yeah)
Took some time to celebrate (come on, let's celebrate)
Just one day out of life (holiday)
It would be, it would be so nice

Holiday (ooh yeah, ooh yeah)
Celebrate (come on, let's celebrate)
Holiday (just one day out of life)
Celebrate"
2,like a virgin,http://www.lyrics.com/lyric/36111174/Madonna/Like+a+Virgin,"I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you

I was beat
Incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new

Hoo, Like a virgin
Touched for the very first time
Like a virgin
When your heart beats
Next to mine

Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you
'Cause only love can last

You're so fine
And you're mine
Make me strong, yeah you make me bold
Oh your love thawed out
Yeah, your love thawed out
What was scared and cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

Whoa
Whoa, ah
Whoa

You're so fine
And you're mine
I'll be yours
'Till the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothing to hide

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat
Next to mine

Like a virgin, ooh ooh
Like a virgin
Feels so good inside
When you hold me,
And your heart beats,
And you love me

Oh oh, ooh whoa
Oh oh oh whoa
Whoa oh ho, ho

Ooh baby
Yeah
Can't you hear my heart beat
For the very first time?"
3,soltera,http://www.lyrics.com/lyric/36233895/Madonna/Soltera,"Ah, Maluma (Ese soy yo)
It's um Madonna (Mamacita) that's right!

Quiere estar soltera
Nadie la enamora
Por que está tan buena
Que prefiere estar sola que mal acompañada

Ella es así nadie la va a cambiar
Es reservada no da el celular
A ningún hombre le piensa copiar
Ella anda suelta y no le va a bajar

I told you not to waste your time
I'm not a girl you drink like wine
If you press pause then I'll retreat
I will not grovel at your feet
Please don't fall in love with me
I would rather be set free
I can not give you my all
I will not make my self small
For no one

Anybody, body, body
Se pone creativa así luciendo su body
En el party, party, party
Se pone creativa así luciendo su body

Quiere estar soltera
Nadie la enamora
Por que está tan buena
Que prefiere estar sola que mal acompañada

Ella es así nadie la va a cambiar
Es reservada no da el celular
A ningún hombre le piensa copiar
Ella anda suelta y no le va a bajar

Don't you try to rescue me
I'm who I'll always be
And I rather be alone
Than pretend to make a perfect doll

I told you not to waste your time
I'm not a girl you drink like wine
If you press pause then I'll retreat
I will not grovel at your feet, so

Anybody, body, body
Se pone creativa así luciendo su body
En el party, party, party
Se pone creativa así luciendo su body

Se mueve pa' arriba, pa'l centro, pa' dentro
Mueve caderas, que me tiene enfermo
Tú sabes muy bien cual es el movimiento
Dale pa' aca, pa' aca, pa' aca
Entre más te acercas más rico te siento
Sube las manos y mueve tu cuerpo
Tú sabes bien cual es el movimiento
Dale pa' atra' pa atra, pa' atra'

And don't you forget it ciao papi
And don't you forget it ciao papi
You are going to regret it
Yeah ciao papi
Bye bye bye
Bye bye bye
Bye bye bye
Ciao papi"
4,crave,http://www.lyrics.com/lyric/36227884/Madonna/Crave,"I'm tired of being far away from home
Far from what can help
Far from where it's safe
Hope it's not too late
Rush, rush, rush on you
Love, love, loved on you
Loved you like a fool
Put my trust in you

'Cause you're the one I crave
And my cravings get dangerous
The feelings never fade
I don't think we should play with this
Said come, come give me strength
I don't think we should wait for this
'Cause you're the one I crave
And my cravings get dangerous

Ooh (ooh), my cravings get dangerous
Ooh, I don't think we should play with this
Ooh (ooh), my cravings get dangerous
Ooh, I don't think we should wait

'Cause I'm just me (yeah), that's all I can be (ooh)
Something real (yeah), something I can feel
You know I just can't change, this is how I'm made
I'm not afraid, take me to that place

You're the one I crave (crave)
And my cravings get dangerous
The feelings never fade
I don't think we should play with this
Said come, come give me strength
I don't think we should wait for this
'Cause you're the one I crave
And my cravings get dangerous

Ooh (ooh), my cravings get dangerous
Ooh, I don't think we should play with this
Ooh (ooh), my cravings get dangerous
Ooh, I don't think we should wait

You're on me, I don't think you should wait (wait)
You're only one pull up away (away)
You're down to ride, you ride me like a wave (ride, yeah)
I gave you a sensation (ooh)
A loner, days we used to chase
It's do or die, yeah, my love life can get crazy (crazy)
It's on the line, girl, you're risking everything (thing)
It's over-X-rated

Ran so far to try to find the thing I lacked and there it was
Inside (side) of (of) me (me)
Ran and ran and ran so fast, a thing to last, and there it was
I hear (hear) you (you) breathe (breathe)

'Cause you're the one I crave (crave)
And my cravings get dangerous
The feelings never fade
I don't think we should play with this
Said come, come give me strength
I don't think we should wait for this
'Cause you're the one I crave
And my cravings get dangerous

Ooh (ooh), my cravings get dangerous
Ooh, I don't think we should play with this
Ooh (ayy, ooh), my cravings get dangerous
Ooh, I don't think we should wait

It's on the line, girl, you're risking everything"
5,dark ballet,http://www.lyrics.com/lyric/36278799/Madonna/Dark+Ballet,"It's a beautiful life, but I'm not concerned
It's a beautiful dream, but a dream is earned
I can dress like a boy, I can dress like a girl
Keep your beautiful words, 'cause I'm not concerned

'Cause your world is such a shame
'Cause your world's obsessed with fame
'Cause your world's in so much pain
'Cause your world is
'Cause your world is
Up in flames

It's a beautiful plan (hmm), but I'm not concerned (oh yeah)
It's a beautiful game (hmm) that I never learned
People tell me to shut my mouth (shut your mouth)
That I might get burned
Keep your beautiful lies (hmm) 'cause I'm not concerned

'Cause your world is such a shame
'Cause your world's obsessed with fame
'Cause your world's in so much pain
'Cause your world is
'Cause your world is

I will﻿ not denounce the things that I have said
I will not renounc﻿e my faith in my sweet Lord
He has chosen me to fight against the English
I am not afraid at all to die 'cause I believe you
God is on my side and I'll be fine
I am not afraid 'cause I have faith in him
You can cut my hair and throw me in a jail cell
Say that I'm a witch and burn me at the stake
It's all a big mistake
Don't you know to doubt him is a sin?
I won't give in

They are so naive
They think we are not aware of their crimes
We know, but we are just not ready to act
The storm isn't in the air, it's inside of us
I want to tell you about love and loneliness
But it's getting late now
Can't you hear outside of your Supreme hoodie, the wind that's beginning to howl?

It's a beautiful life"
6,future,http://www.lyrics.com/lyric/36210392/Madonna/Future,"Mambo, Huncho

Not everyone is coming to the future
Not everyone is learning from the past
Not everyone can come into the future
Not everyone that's here is gonna last (gonna last)
Not everyone is coming to the future
Not everyone is coming from the past
Not everyone can come into the future
Not everyone that's here is gonna last (gonna last)

You ain't woke
Come here woke and hear the broken
Come give hope, come give life
Only get one, so we gotta live it right (gotta live it right)
Come make peace, oh
Come with faith and inspiration
Come complete you
Advice, positive vibes (positive vibes)
Open your mind (open your mind)
Open your eyes (open your eyes)
Yeah (yeah)

Not everyone is coming to the future
Not everyone is learning from the past
Not everyone can come into the future
Not everyone that's here is gonna last (gonna last)
Not everyone is coming to the future (no)
Not everyone is coming from the past (past)
Not everyone can come into the future (to the future, no)
Not everyone that's here is gonna last (gonna last, yeah)

To the future
Past (fast)
Future (no, don't)
Last

I hope you know (know), my life is gold (gold)
I drip that ice (ice), I see the signs (signs)
Just free your mind (free)
Welcome to the future, it's a culture ride (ride)
Too much pain inside
It's an override (yeah, yeah)
You've been puttin' too much time tryin' to survive (tryin')
Don't like the person in your class, so you let 'em die
L-L-Let your light shine (yeah, yeah)

Not everyone is coming to the future (no)
Not everyone is coming from the past (past)
Not everyone can come into the future (to the future, no)
Not everyone that's here is gonna last (gonna last, last)
Not everyone is coming to the future (to the future, no)
Not everyone is coming from the past (past, from the past)
Not everyone can come into the future (to the future, no)
Not everyone that's here is gonna last (gonna last, last)

Future
Quavo
Past
Sparkle
Future

We can light up the dark, everyone has a spark
Don't tell me to stop 'cause you said so (oh, yeah)
Your future is bright (bright), just don't turn off the light (lights)
Tell the sun not to shine (bright) 'cause you said so

Not everyone is coming to the future (no)
Not everyone is coming from the past (past)
Not everyone can come into the future (to the future, no)
Not everyone that's here is gonna last (gonna last, last)

To the future (no, past, past)
From the past
To the future (no, last)

It's the future where we come from, bein' stars
It's the future where we come from, bein' hard
It's the future where we come from, beat 'em all
It's the future where we come from, bein' boss
It's the future where you gotta pay the cost (the future)
It's the future where you come from, bein' lost (the future)
It's the future, crucifixion on a cross (woo)
But you know that I'ma rise above it all, yeah"
7,i rise,http://www.lyrics.com/lyric/36206725/Madonna/I+Rise,"Us kids don't know what we're talking about
That we're too young to understand how the government works
We call B.S.

I'm goin' through it, yeah
I know you see the tragic in it
Just hold on to the little bit of magic in it
I can't break down now
I can't take that now
Died a thousand times
Managed to survive
I can't break down now
I can't take that (I can't take that)

I rise, I rise
I rise up above it, up above it
I rise, I rise
I rise up above it all

There's nothin' you can do to me that hasn't been done
Not bulletproof, shouldn't have to run from a gun
River of tears ran dry, let 'em run
No game that you can play with me, I ain't one

'Cause I'm goin' through it, yeah
I know you see the tragic in it (alright)
Just hold on to the little bit of magic in it (yeah)
I can't break down now
I can't take that now (I can't take that now)
Died a thousand times
Managed to survive (I managed to survive)
I can't break down now
I can't take that (I can't take that)

(I rise) I rise, I rise
(Rise) I rise up above it, up above it
(I rise) I rise, I rise
(Rise) I rise up above it all

I managed to survive (B.S.)
Freedom's what you choose to do with what's been done to you
No one can hurt you now unless you want them to (Unless you want)
No one can hurt you now unless you love 'em too (B.S.)
Unless you love 'em too

'Cause I'm going through it
Yeah, I know you see the tragic in it
Just hold on to the little bit of magic in it (Magic in it)
I can't break down now
I can't take that (I can't take that)

(I rise) I rise, I rise
(Rise) I rise up above it, up above it
(I rise) I rise, I rise
(Rise) I rise up above it all

Yeah, we gonna rise up
Yeah, we gonna rise up
Yeah, we gonna get up
Yeah, we gonna get up
Yeah, we gonna get up
Yes, we can, we can get it together
We'll rise up, we can get it together
Yeah, we gonna rise up
Yeah, we gonna rise up
Yeah, we gonna get up
Yeah, we gonna get up
Yeah, we gonna get up
Yes, we can, we can get it together
We'll rise up, we can get it together"
8,like a prayer,http://www.lyrics.com/lyric/36341851/Madonna/Like+a+Prayer,"Life is a mystery, everyone must stand alone
I hear you call my name
And it feels like home

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

I hear your voice, it's like an angel sighing
I have no choice, I hear your voice
Feels like flying
I close my eyes, Oh God I think I'm falling
Out of the sky, I close my eyes
Heaven help me

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

Like a child you whisper softly to me
You're in control just like a child
Now I'm dancing
It's like a dream, no end and no beginning
You're here with me, it's like a dream
Let the choir sing

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel your power
Just like a prayer you know I'll take you there

When you call my name it's like a little prayer
I'm down on my knees, I wanna take you there
In the midnight hour I can feel a power
Just like a prayer you know I'll take you there

Life is a mystery, everyone must stand alone
I hear you call my name
And it feels like home

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there

Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there

Just like a prayer, your voice can take me there
Just like a muse to me, you are a mystery
Just like a dream, you are not what you seem
Just like a prayer, no choice your voice can take me there
Your voice can take me there, just like a prayer"
9,music,http://www.lyrics.com/lyric/36341853/Madonna/Music,"Hey Mister D.J.
Put a record on
I want to dance with my baby

Hey Mister D.J.
Put a record on
I want to dance with my baby
And when the music starts
I never want to stop
It's gonna drive me crazy

Music

[Chorus]
Music makes the people come together
[Never gonna stop]
Music makes the bourgeoisie and the rebel
[Never gonna stop]

Don't think of yesterday
And I don't look at the clock
I like to boogie-woogie, uh, uh
It's like riding on the wind
And it never goes away
Touches everything I'm in
Got to have it everyday

[Chorus]

Hey Mister D.J.

[Never want to stop]

Hey Mister D.J.
Put a record on
I want to dance with my baby
And when the music starts
I never want to stop
It's gonna drive me crazy
Uh, uh, uh

[Chorus]"
