,title,links,song_lyric,artist
0,live to tell,http://www.lyrics.com/lyric/36050507/Madonna/Live+to+Tell,NaN,1
1,holiday,http://www.lyrics.com/lyric/36111222/Madonna/Holiday,NaN,1
2,like a virgin,http://www.lyrics.com/lyric/36111174/Madonna/Like+a+Virgin,NaN,1
3,soltera,http://www.lyrics.com/lyric/36233895/Madonna/Soltera,NaN,1
4,crave,http://www.lyrics.com/lyric/36227884/Madonna/Crave,NaN,1
5,dark ballet,http://www.lyrics.com/lyric/36278799/Madonna/Dark+Ballet,NaN,1
6,future,http://www.lyrics.com/lyric/36210392/Madonna/Future,NaN,1
7,i rise,http://www.lyrics.com/lyric/36206725/Madonna/I+Rise,NaN,1
8,like a prayer,http://www.lyrics.com/lyric/36341851/Madonna/Like+a+Prayer,NaN,1
9,music,http://www.lyrics.com/lyric/36341853/Madonna/Music,NaN,1
10,medellín,http://www.lyrics.com/lyric/36290739/Madonna/Medell%C3%ADn,NaN,1
11,god control,http://www.lyrics.com/lyric/36290737/Madonna/God+Control,NaN,1
12,crazy,http://www.lyrics.com/lyric/36290732/Madonna/Crazy,NaN,1
13,bitch i'm loca,http://www.lyrics.com/lyric/36290729/Madonna/Bitch+I%27m+Loca,NaN,1
14,open your heart,http://www.lyrics.com/lyric/35087044/Madonna/Open+Your+Heart,NaN,1
15,into the groove,http://www.lyrics.com/lyric/35980754/Madonna/Into+the+Groove,NaN,1
16,champagne rosé,http://www.lyrics.com/lyric/35543558/Madonna/CHAMPAGNE+ROS%C3%89,NaN,1
17,lucky star,http://www.lyrics.com/lyric/35736983/Madonna/Lucky+Star,NaN,1
18,true blue,http://www.lyrics.com/lyric/35737015/Madonna/True+Blue,NaN,1
19,white heat,http://www.lyrics.com/lyric/35737013/Madonna/White+Heat,NaN,1
20,causing a commotion,http://www.lyrics.com/lyric/35736999/Madonna/Causing+a+Commotion,NaN,1
21,the look of love,http://www.lyrics.com/lyric/35737011/Madonna/The+Look+of+Love,NaN,1
22,where's the party?,http://www.lyrics.com/lyric/35737007/Madonna/Where%27s+the+Party%3F,NaN,1
23,who's that girl?,http://www.lyrics.com/lyric/35737003/Madonna/Who%27s+That+Girl%3F,NaN,1
24,express yourself,http://www.lyrics.com/lyric/35736998/Madonna/Express+Yourself,NaN,1
25,sooner or later,http://www.lyrics.com/lyric/35736997/Madonna/Sooner+or+Later,NaN,1
26,fever,http://www.lyrics.com/lyric/35736994/Madonna/Fever,NaN,1
27,bad girl,http://www.lyrics.com/lyric/35736995/Madonna/Bad+Girl,NaN,1
28,bye bye baby,http://www.lyrics.com/lyric/35736992/Madonna/Bye+Bye+Baby,NaN,1
29,take a bow,http://www.lyrics.com/lyric/35736991/Madonna/Take+a+Bow,NaN,1
30,crazy for you,http://www.lyrics.com/lyric/35736982/Madonna/Crazy+for+You,NaN,1
31,over and over,http://www.lyrics.com/lyric/35736981/Madonna/Over+and+Over,NaN,1
32,burning up,http://www.lyrics.com/lyric/35736980/Madonna/Burning+Up,NaN,1
33,papa don't preach,http://www.lyrics.com/lyric/35459784/Madonna/Papa+Don%27t+Preach,NaN,1
34,material girl,http://www.lyrics.com/lyric/35459779/Madonna/Material+Girl,NaN,1
35,la isla bonita,http://www.lyrics.com/lyric/35459774/Madonna/La+Isla+Bonita,NaN,1
36,oh what a circus,http://www.lyrics.com/lyric/34817641/Madonna/Oh+What+a+Circus,NaN,1
37,you must love me,http://www.lyrics.com/lyric/35225204/Madonna/You+Must+Love+Me,NaN,1
38,rainbow high,http://www.lyrics.com/lyric/35225191/Madonna/Rainbow+High,NaN,1
39,iconic,http://www.lyrics.com/lyric/34385937/Madonna/Iconic,NaN,1
40,bitch i'm madonna,http://www.lyrics.com/lyric/34385936/Madonna/Bitch+I%27m+Madonna,NaN,1
41,devil pray,http://www.lyrics.com/lyric/34385933/Madonna/Devil+Pray,NaN,1
42,body shop,http://www.lyrics.com/lyric/34385931/Madonna/Body+Shop,NaN,1
43,heartbreakcity,http://www.lyrics.com/lyric/34385928/Madonna/HeartBreakCity,NaN,1
44,living for love,http://www.lyrics.com/lyric/34385925/Madonna/Living+for+Love,NaN,1
45,rebel heart,http://www.lyrics.com/lyric/34385921/Madonna/Rebel+Heart,NaN,1
46,unapologetic bitch,http://www.lyrics.com/lyric/34405528/Madonna/Unapologetic+Bitch,NaN,1
47,like a prayer ,http://www.lyrics.com/lyric/34405703/Madonna/Like+a+Prayer+%5B%2A%5D,NaN,1
48,iconic ,http://www.lyrics.com/lyric/34405721/Madonna/Iconic+%5BCD%5D,NaN,1
